source_table,total_rows,distinct_ids,ordinal,column_name,data_type,null_empty_count,null_pct,distinct_values,flag
raw.salesforce_campaign,41305,40776,1,Id,nvarchar,0,.00%,40776,✅ clean
raw.salesforce_campaign,41305,40776,2,IsDeleted,nvarchar,0,.00%,2,✅ clean
raw.salesforce_campaign,41305,40776,3,Name,nvarchar,0,.00%,34178,✅ clean
raw.salesforce_campaign,41305,40776,4,ParentId,nvarchar,9301,22.52%,2656,🟠 medium
raw.salesforce_campaign,41305,40776,5,Type,nvarchar,27706,67.08%,11,🔴 high
raw.salesforce_campaign,41305,40776,6,RecordTypeId,nvarchar,17,.04%,9,🟡 low
raw.salesforce_campaign,41305,40776,7,Status,nvarchar,13,.03%,4,🟡 low
raw.salesforce_campaign,41305,40776,8,StartDate,nvarchar,21318,51.61%,2609,🔴 high
raw.salesforce_campaign,41305,40776,9,EndDate,nvarchar,24786,60.01%,1838,🔴 high
raw.salesforce_campaign,41305,40776,10,CurrencyIsoCode,nvarchar,0,.00%,5,✅ clean
raw.salesforce_campaign,41305,40776,11,ExpectedRevenue,nvarchar,30626,74.15%,297,🔴 high
raw.salesforce_campaign,41305,40776,12,BudgetedCost,nvarchar,41304,100.00%,1,🔴 high
raw.salesforce_campaign,41305,40776,13,ActualCost,nvarchar,41304,100.00%,1,🔴 high
raw.salesforce_campaign,41305,40776,14,ExpectedResponse,nvarchar,0,.00%,1,✅ clean
raw.salesforce_campaign,41305,40776,15,NumberSent,nvarchar,2,.00%,1,✅ clean
raw.salesforce_campaign,41305,40776,16,IsActive,nvarchar,0,.00%,2,✅ clean
raw.salesforce_campaign,41305,40776,17,Description,nvarchar,19999,48.42%,10147,🔴 high
raw.salesforce_campaign,41305,40776,18,CampaignImageId,nvarchar,41305,100.00%,0,🔴 high
raw.salesforce_campaign,41305,40776,19,NumberOfLeads,nvarchar,0,.00%,91,✅ clean
raw.salesforce_campaign,41305,40776,20,NumberOfConvertedLeads,nvarchar,0,.00%,3,✅ clean
raw.salesforce_campaign,41305,40776,21,NumberOfContacts,nvarchar,0,.00%,483,✅ clean
raw.salesforce_campaign,41305,40776,22,NumberOfResponses,nvarchar,0,.00%,354,✅ clean
