source_table,total_rows,distinct_ids,ordinal,column_name,data_type,null_empty_count,null_pct,distinct_values,flag
raw.salesforce_item,31391,30816,1,Id,nvarchar,0,.00%,30816,✅ clean
raw.salesforce_item,31391,30816,2,OwnerId,nvarchar,0,.00%,120,✅ clean
raw.salesforce_item,31391,30816,3,IsDeleted,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,4,Name,nvarchar,0,.00%,21259,✅ clean
raw.salesforce_item,31391,30816,5,CurrencyIsoCode,nvarchar,0,.00%,6,✅ clean
raw.salesforce_item,31391,30816,6,CreatedDate,nvarchar,0,.00%,14391,✅ clean
raw.salesforce_item,31391,30816,7,CreatedById,nvarchar,0,.00%,119,✅ clean
raw.salesforce_item,31391,30816,8,LastModifiedDate,nvarchar,0,.00%,8054,✅ clean
raw.salesforce_item,31391,30816,9,LastModifiedById,nvarchar,0,.00%,67,✅ clean
raw.salesforce_item,31391,30816,10,SystemModstamp,nvarchar,0,.00%,8057,✅ clean
raw.salesforce_item,31391,30816,11,LastActivityDate,nvarchar,31391,100.00%,0,🔴 high
raw.salesforce_item,31391,30816,12,LastViewedDate,nvarchar,31378,99.96%,10,🔴 high
raw.salesforce_item,31391,30816,13,LastReferencedDate,nvarchar,31378,99.96%,10,🔴 high
raw.salesforce_item,31391,30816,14,npsp__Active__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,15,npsp__Average_Allocation__c,nvarchar,2,.01%,7043,🟡 low
raw.salesforce_item,31391,30816,16,npsp__Description__c,nvarchar,19114,60.89%,8391,🔴 high
raw.salesforce_item,31391,30816,17,npsp__First_Allocation_Date__c,nvarchar,17378,55.36%,2677,🔴 high
raw.salesforce_item,31391,30816,18,npsp__Largest_Allocation__c,nvarchar,1253,3.99%,3280,🟡 low
raw.salesforce_item,31391,30816,19,npsp__Last_Allocation_Date__c,nvarchar,17378,55.36%,2468,🔴 high
raw.salesforce_item,31391,30816,20,npsp__Number_of_Allocations_Last_N_Days__c,nvarchar,2,.01%,883,🟡 low
raw.salesforce_item,31391,30816,21,npsp__Number_of_Allocations_Last_Year__c,nvarchar,1,.00%,661,✅ clean
raw.salesforce_item,31391,30816,22,npsp__Number_of_Allocations_This_Year__c,nvarchar,2,.01%,766,🟡 low
raw.salesforce_item,31391,30816,23,npsp__Number_of_Allocations_Two_Years_Ago__c,nvarchar,1,.00%,603,✅ clean
raw.salesforce_item,31391,30816,24,npsp__Smallest_Allocation__c,nvarchar,1253,3.99%,2001,🟡 low
raw.salesforce_item,31391,30816,25,npsp__Total_Allocations_Last_N_Days__c,nvarchar,2,.01%,4485,🟡 low
raw.salesforce_item,31391,30816,26,npsp__Total_Allocations_Last_Year__c,nvarchar,1,.00%,2723,✅ clean
raw.salesforce_item,31391,30816,27,npsp__Total_Allocations_This_Year__c,nvarchar,2,.01%,3658,🟡 low
raw.salesforce_item,31391,30816,28,npsp__Total_Allocations_Two_Years_Ago__c,nvarchar,1,.00%,2325,✅ clean
raw.salesforce_item,31391,30816,29,npsp__Total_Allocations__c,nvarchar,2,.01%,9026,🟡 low
raw.salesforce_item,31391,30816,30,npsp__Total_Number_of_Allocations__c,nvarchar,2,.01%,1676,🟡 low
raw.salesforce_item,31391,30816,31,Allow_Recurring__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,32,Allow_Single__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,33,Allowed_Payment_Types__c,nvarchar,31121,99.14%,6,🔴 high
raw.salesforce_item,31391,30816,34,Country__c,nvarchar,19462,62.00%,73,🔴 high
raw.salesforce_item,31391,30816,35,Donation_Item_Code__c,nvarchar,11,.04%,30805,🟡 low
raw.salesforce_item,31391,30816,36,Donation_Type__c,nvarchar,28376,90.40%,3,🔴 high
raw.salesforce_item,31391,30816,37,Gift_Aid_Eligible__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,38,Product_Type__c,nvarchar,1763,5.62%,12,🟠 medium
raw.salesforce_item,31391,30816,39,Casesafe_Item_Id__c,nvarchar,0,.00%,30816,✅ clean
raw.salesforce_item,31391,30816,40,Include_In_General_Receipt__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,41,Allow_Donation_Targets__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,42,Deduction_Class__c,nvarchar,30971,98.66%,5,🔴 high
