source_table,total_rows,distinct_ids,ordinal,column_name,data_type,null_empty_count,null_pct,distinct_values,flag
raw.salesforce_recurring_donation,261577,258465,1,Id,nvarchar,0,.00%,258465,✅ clean
raw.salesforce_recurring_donation,261577,258465,2,OwnerId,nvarchar,0,.00%,537,✅ clean
raw.salesforce_recurring_donation,261577,258465,3,IsDeleted,nvarchar,0,.00%,1,✅ clean
raw.salesforce_recurring_donation,261577,258465,4,Name,nvarchar,0,.00%,252725,✅ clean
raw.salesforce_recurring_donation,261577,258465,5,CurrencyIsoCode,nvarchar,0,.00%,7,✅ clean
raw.salesforce_recurring_donation,261577,258465,6,CreatedDate,nvarcha,0,.00%,223453,✅ clean
raw.salesforce_recurring_donation,261577,258465,7,CreatedById,nvarchar,0,.00%,537,✅ clean
raw.salesforce_recurring_donation,261577,258465,8,LastModifiedDate,nvarchar,0,.00%,50373,✅ clean
raw.salesforce_recurring_donation,261577,258465,9,LastModifiedById,nvarchar,0,.00%,202,✅ clean
raw.salesforce_recurring_donation,261577,258465,10,SystemModstamp,nvarchar,0,.00%,25952,✅ clean
raw.salesforce_recurring_donation,261577,258465,11,LastActivityDate,nvarchar,252294,96.45%,733,🔴 high
raw.salesforce_recurring_donation,261577,258465,12,LastViewedDate,nvarchar,261574,100.00%,3,🔴 high
raw.salesforce_recurring_donation,261577,258465,13,LastReferencedDate,nvarchar,261574,100.00%,3,🔴 high
raw.salesforce_recurring_donation,261577,258465,14,npe03__Amount__c,nvarchar,0,.00%,1565,✅ clean
raw.salesforce_recurring_donation,261577,258465,15,npe03__Contact__c,nvarchar,87,.03%,188357,🟡 low
raw.salesforce_recurring_donation,261577,258465,16,npe03__Date_Established__c,nvarchar,0,.00%,2000,✅ clean
raw.salesforce_recurring_donation,261577,258465,17,npe03__Donor_Name__c,nvarchar,57,.02%,166069,🟡 low
raw.salesforce_recurring_donation,261577,258465,18,npe03__Installment_Amount__c,nvarchar,0,.00%,1725,✅ clean
raw.salesforce_recurring_donation,261577,258465,19,npe03__Installment_Period__c,nvarchar,45488,17.39%,4,🟠 medium
raw.salesforce_recurring_donation,261577,258465,20,npe03__Installments__c,nvarchar,161391,61.70%,48,🔴 high
