source_table,total_rows,distinct_ids,ordinal,column_name,data_type,null_empty_count,null_pct,distinct_values,flag
raw.salesforce_sponsorship,228229,227245,1,Id,nvarchar,0,.00%,227245,✅ clean
raw.salesforce_sponsorship,228229,227245,2,IsDeleted,nvarchar,0,.00%,2,✅ clean
raw.salesforce_sponsorship,228229,227245,3,Name,nvarchar,0,.00%,166449,✅ clean
raw.salesforce_sponsorship,228229,227245,4,CurrencyIsoCode,nvarchar,0,.00%,7,✅ clean
raw.salesforce_sponsorship,228229,227245,5,CreatedDate,nvarchar,0,.00%,116443,✅ clean
raw.salesforce_sponsorship,228229,227245,6,CreatedById,nvarchar,0,.00%,538,✅ clean
raw.salesforce_sponsorship,228229,227245,7,LastModifiedDate,nvarchar,0,.00%,59895,✅ clean
raw.salesforce_sponsorship,228229,227245,8,LastModifiedById,nvarchar,0,.00%,496,✅ clean
raw.salesforce_sponsorship,228229,227245,9,SystemModstamp,nvarchar,0,.00%,13024,✅ clean
raw.salesforce_sponsorship,228229,227245,10,LastActivityDate,nvarchar,110685,48.50%,1494,🔴 high
raw.salesforce_sponsorship,228229,227245,11,LastViewedDate,nvarchar,228229,100.00%,0,🔴 high
raw.salesforce_sponsorship,228229,227245,12,LastReferencedDate,nvarchar,228229,100.00%,0,🔴 high
raw.salesforce_sponsorship,228229,227245,13,Orphan__c,nvarchar,0,.00%,79469,✅ clean
raw.salesforce_sponsorship,228229,227245,14,Donor__c,nvarchar,68532,30.03%,92051,🔴 high
raw.salesforce_sponsorship,228229,227245,15,End_Date_Time__c,nvarchar,49425,21.66%,37712,🟠 medium
raw.salesforce_sponsorship,228229,227245,16,IsActive__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_sponsorship,228229,227245,17,Recurring_Donation__c,nvarchar,113749,49.84%,90136,🔴 high
raw.salesforce_sponsorship,228229,227245,18,Renewal_Due_Date__c,nvarchar,193371,84.73%,5605,🔴 high
raw.salesforce_sponsorship,228229,227245,19,Start_Date_Time__c,nvarchar,91,.04%,52371,🟡 low
raw.salesforce_sponsorship,228229,227245,20,Status__c,nvarchar,3,.00%,3,✅ clean
raw.salesforce_sponsorship,228229,227245,21,Donor_Organization__c,nvarchar,159695,69.97%,144,🔴 high
raw.salesforce_sponsorship,228229,227245,22,DMS_Sponsorship_ID__c,nvarchar,161174,70.62%,67045,🔴 high
raw.salesforce_sponsorship,228229,227245,23,Acknowledgment_Status__c,nvarchar,213062,93.35%,3,🔴 high
raw.salesforce_sponsorship,228229,227245,24,DMS_ID__c,nvarchar,0,.00%,79469,✅ clean
raw.salesforce_sponsorship,228229,227245,25,Orphan_Account_Name__c,nvarchar,0,.00%,35,✅ clean
raw.salesforce_sponsorship,228229,227245,26,Donor_ID__c,nvarchar,68532,30.03%,92051,🔴 high
raw.salesforce_sponsorship,228229,227245,27,Orphan_First_Name__c,nvarchar,5,.00%,15534,✅ clean
